iter	Passed	Remaining
419	3059	582
420	3066	575
421	3072	567
422	3077	560
423	3084	552
424	3090	545
425	3097	538
426	3104	530
427	3110	523
428	3117	516
429	3123	508
430	3131	501
431	3136	493
432	3142	486
433	3148	478
434	3153	471
435	3159	463
436	3164	456
437	3170	448
438	3176	441
439	3183	434
440	3188	426
441	3194	419
442	3200	411
443	3205	404
444	3211	396
445	3216	389
446	3222	382
447	3227	374
448	3233	367
449	3240	360
450	3246	352
451	3252	345
452	3258	338
453	3264	330
454	3270	323
455	3276	316
456	3282	308
457	3287	301
458	3293	294
459	3299	286
460	3304	279
461	3310	272
462	3315	264
463	3321	257
464	3327	250
465	3332	243
466	3337	235
467	3344	228
468	3349	221
469	3356	214
470	3361	206
471	3366	199
472	3374	192
473	3382	185
474	3391	178
475	3397	171
476	3404	164
477	3409	156
478	3415	149
479	3425	142
480	3430	135
481	3436	128
482	3441	121
483	3447	113
484	3454	106
485	3459	99
486	3465	92
487	3471	85
488	3476	78
489	3483	71
490	3489	63
491	3494	56
492	3500	49
493	3506	42
494	3513	35
495	3518	28
496	3524	21
497	3529	14
498	3535	7
499	3540	0
